Region	Cluster_type	Cluster-Name	Start	End	Genes_total	Genes_expressed	Reads_total	Mean_reads_per_gene	Completeness	Status
contig_3	protocluster	oligosaccharide	1662985	1689194	21	21	17622	839.14	100.0%	complete
contig_2	protocluster	NRPS-like	686380	728216	29	28	17409	600.31	96.6%	partly
contig_2	cand_cluster	T2PKS	1150384	1222900	70	68	43531	621.87	97.1%	partly
contig_2	protocluster	terpene	4413876	4436174	18	18	17980	998.89	100.0%	complete
contig_3	cand_cluster	terpene	1847315	1873993	25	25	186252	7450.08	100.0%	complete
contig_3	protocluster	hydrogen-cyanide	3016917	3030032	11	10	1797	163.36	90.9%	partly
contig_3	protocluster	terpene	1847315	1873993	25	25	186252	7450.08	100.0%	complete
contig_3	region	T3PKS	873849	988740	75	75	336244	4483.25	100.0%	complete
contig_3	cand_cluster	deazapurine	1710000	1737379	19	19	68452	3602.74	100.0%	complete
contig_3	protocluster	butyrolactone	2423601	2434600	8	8	12825	1603.12	100.0%	complete
contig_2	cand_cluster	terpene	4413876	4436174	18	18	17980	998.89	100.0%	complete
contig_2	protocluster	azole-containing-RiPP	4370008	4393356	26	26	101355	3898.27	100.0%	complete
contig_3	protocluster	transAT-PKS	242821	350888	46	46	738357	16051.24	100.0%	complete
contig_2	protocluster	T1PKS	379039	426437	38	33	11649	306.55	86.8%	partly
contig_3	protocluster	lanthipeptide-class-v	1610635	1652758	33	32	101225	3067.42	97.0%	partly
contig_3	cand_cluster	terpene	2614748	2664623	46	46	131508	2858.87	100.0%	complete
contig_3	cand_cluster	RRE-containing	3023621	3046876	15	15	7970	531.33	100.0%	complete
contig_3	protocluster	CDPS	2484341	2505049	20	20	20503	1025.15	100.0%	complete
contig_3	cand_cluster	T3PKS	873849	914902	26	26	75831	2916.58	100.0%	complete
contig_3	cand_cluster	NRPS	1693838	1736523	37	37	77220	2087.03	100.0%	complete
contig_2	region	lanthipeptide-class-i	231076	256509	26	26	31094	1195.92	100.0%	complete
contig_3	cand_cluster	NI-siderophore	782357	815041	24	23	348090	14503.75	95.8%	partly
contig_2	region	terpene-precursor	51009	72086	19	18	13967	735.11	94.7%	partly
contig_3	region	terpene	1847315	1873993	25	25	186252	7450.08	100.0%	complete
contig_3	cand_cluster	T3PKS	873849	988740	75	75	336244	4483.25	100.0%	complete
contig_2	region	NI-siderophore	2020529	2050332	23	23	33572	1459.65	100.0%	complete
contig_2	region	terpene	671896	728216	43	42	83141	1933.51	97.7%	partly
contig_3	cand_cluster	RiPP-like	1024053	1034893	11	11	8682	789.27	100.0%	complete
contig_3	protocluster	atropopeptide	2852432	2873648	19	19	42350	2228.95	100.0%	complete
contig_3	protocluster	RRE-containing	3023621	3046876	15	15	7970	531.33	100.0%	complete
contig_3	protocluster	pyrrolidine	2118065	2150285	25	25	57527	2301.08	100.0%	complete
contig_3	protocluster	NAPAA	2131888	2165848	27	27	292941	10849.67	100.0%	complete
contig_1	region	T1PKS	0	76890	17	17	214390	12611.18	100.0%	complete
contig_3	region	transAT-PKS	242821	350888	46	46	738357	16051.24	100.0%	complete
contig_3	protocluster	PKS-like	947711	988740	28	28	115957	4141.32	100.0%	complete
contig_2	region	azole-containing-RiPP	4370008	4393356	26	26	101355	3898.27	100.0%	complete
contig_3	protocluster	T2PKS	1619137	1691662	66	65	199406	3021.3	98.5%	partly
contig_2	region	T1PKS	379039	470217	62	54	18934	305.39	87.1%	partly
contig_2	protocluster	RiPP-like	1107517	1117733	7	7	3982	568.86	100.0%	complete
contig_3	protocluster	NRPS	1693838	1736523	37	37	77220	2087.03	100.0%	complete
contig_3	protocluster	NRPS	914348	975474	39	39	150341	3854.9	100.0%	complete
contig_3	cand_cluster	butyrolactone	913685	924711	8	8	136360	17045.0	100.0%	complete
contig_3	cand_cluster	atropopeptide	2852432	2873648	19	19	42350	2228.95	100.0%	complete
contig_3	region	CDPS	2484341	2505049	20	20	20503	1025.15	100.0%	complete
contig_2	protocluster	T1PKS	749397	795484	32	32	36647	1145.22	100.0%	complete
contig_3	region	butyrolactone	2423601	2434600	8	8	12825	1603.12	100.0%	complete
contig_2	cand_cluster	lanthipeptide-class-i	231076	256509	26	26	31094	1195.92	100.0%	complete
contig_3	cand_cluster	T2PKS	1619137	1691662	66	65	199406	3021.3	98.5%	partly
contig_2	cand_cluster	ectoine	2116351	2126762	11	11	415265	37751.36	100.0%	complete
contig_2	cand_cluster	NAPAA	5094169	5128384	30	29	77802	2593.4	96.7%	partly
contig_2	protocluster	NAPAA	5094169	5128384	30	29	77802	2593.4	96.7%	partly
contig_3	protocluster	butyrolactone	913685	924711	8	8	136360	17045.0	100.0%	complete
contig_3	protocluster	NAPAA	2954115	2989372	33	30	62332	1888.85	90.9%	partly
contig_3	cand_cluster	NRPS	914348	975474	39	39	150341	3854.9	100.0%	complete
contig_3	protocluster	NI-siderophore	782357	815041	24	23	348090	14503.75	95.8%	partly
contig_3	cand_cluster	hydrogen-cyanide	3016917	3046876	22	21	8865	402.95	95.5%	partly
contig_3	region	butyrolactone	2706670	2717606	9	9	11112	1234.67	100.0%	complete
contig_2	region	NRPS-like	159806	202908	41	34	28006	683.07	82.9%	partly
contig_3	cand_cluster	butyrolactone	2423601	2434600	8	8	12825	1603.12	100.0%	complete
contig_2	protocluster	T2PKS	1150384	1222900	70	68	43531	621.87	97.1%	partly
contig_3	protocluster	butyrolactone	2157562	2168483	10	10	7011	701.1	100.0%	complete
contig_2	cand_cluster	T1PKS	379039	470217	62	54	18934	305.39	87.1%	partly
contig_2	region	NAPAA	5094169	5128384	30	29	77802	2593.4	96.7%	partly
contig_3	cand_cluster	lanthipeptide-class-i	1377913	1403167	27	21	57137	2116.19	77.8%	partly
contig_3	protocluster	terpene	2614748	2637945	23	23	25659	1115.61	100.0%	complete
contig_2	protocluster	NRPS-like	755480	797301	31	30	36002	1161.35	96.8%	partly
contig_3	protocluster	butyrolactone	2706670	2717606	9	9	11112	1234.67	100.0%	complete
contig_3	region	NAPAA	2954115	2989372	33	30	62332	1888.85	90.9%	partly
contig_1	cand_cluster	T1PKS	0	76890	17	17	214390	12611.18	100.0%	complete
contig_3	region	lanthipeptide-class-v	1610635	1691662	69	68	247720	3590.14	98.6%	partly
contig_2	cand_cluster	NRPS-like	686380	728216	29	28	17409	600.31	96.6%	partly
contig_3	protocluster	RiPP-like	1024053	1034893	11	11	8682	789.27	100.0%	complete
contig_2	cand_cluster	T1PKS	942090	1051971	36	36	40460	1123.89	100.0%	complete
contig_2	region	RiPP-like	1107517	1117733	7	7	3982	568.86	100.0%	complete
contig_3	protocluster	deazapurine	1710000	1737379	19	19	68452	3602.74	100.0%	complete
contig_3	cand_cluster	lanthipeptide-class-iii	2636705	2659324	18	18	104607	5811.5	100.0%	complete
contig_2	cand_cluster	terpene-precursor	51009	72086	19	18	13967	735.11	94.7%	partly
contig_2	protocluster	NRPS	677506	725162	35	34	80415	2297.57	97.1%	partly
contig_2	cand_cluster	NRPS-like	159806	202908	41	34	28006	683.07	82.9%	partly
contig_3	protocluster	T3PKS	873849	914902	26	26	75831	2916.58	100.0%	complete
contig_3	cand_cluster	butyrolactone	2706670	2717606	9	9	11112	1234.67	100.0%	complete
contig_3	cand_cluster	oligosaccharide	1662985	1689194	21	21	17622	839.14	100.0%	complete
contig_2	cand_cluster	T1PKS	749397	797301	34	33	36695	1079.26	97.1%	partly
contig_2	protocluster	NI-siderophore	2020529	2050332	23	23	33572	1459.65	100.0%	complete
contig_3	cand_cluster	NAPAA	2131888	2165848	27	27	292941	10849.67	100.0%	complete
contig_2	protocluster	lanthipeptide-class-i	231076	256509	26	26	31094	1195.92	100.0%	complete
contig_3	region	lanthipeptide-class-i	1377913	1403167	27	21	57137	2116.19	77.8%	partly
contig_3	cand_cluster	pyrrolidine	2118065	2168483	43	43	304746	7087.12	100.0%	complete
contig_3	protocluster	NRPS	269591	346165	21	21	87583	4170.62	100.0%	complete
contig_2	cand_cluster	NRPS	411945	470217	37	32	8443	228.19	86.5%	partly
contig_2	region	ectoine	2116351	2126762	11	11	415265	37751.36	100.0%	complete
contig_2	cand_cluster	terpene	671896	728216	43	42	83141	1933.51	97.7%	partly
contig_2	protocluster	T1PKS	942090	1051971	36	36	40460	1123.89	100.0%	complete
contig_3	region	NI-siderophore	782357	815041	24	23	348090	14503.75	95.8%	partly
contig_3	region	RiPP-like	1024053	1034893	11	11	8682	789.27	100.0%	complete
contig_1	protocluster	T1PKS	0	76890	17	17	214390	12611.18	100.0%	complete
contig_3	cand_cluster	PKS-like	947711	988740	28	28	115957	4141.32	100.0%	complete
contig_3	protocluster	lanthipeptide-class-iii	2636705	2659324	18	18	104607	5811.5	100.0%	complete
contig_2	cand_cluster	NI-siderophore	2020529	2050332	23	23	33572	1459.65	100.0%	complete
contig_2	protocluster	NRPS	411945	470217	37	32	8443	228.19	86.5%	partly
contig_2	cand_cluster	T1PKS	379039	426437	38	33	11649	306.55	86.8%	partly
contig_2	protocluster	ectoine	2116351	2126762	11	11	415265	37751.36	100.0%	complete
contig_3	region	pyrrolidine	2118065	2168483	43	43	304746	7087.12	100.0%	complete
contig_3	cand_cluster	NRPS	1693838	1737379	38	38	82545	2172.24	100.0%	complete
contig_3	protocluster	NRPS-like	261873	305506	4	4	24534	6133.5	100.0%	complete
contig_3	cand_cluster	transAT-PKS	242821	350888	46	46	738357	16051.24	100.0%	complete
contig_2	cand_cluster	RiPP-like	1107517	1117733	7	7	3982	568.86	100.0%	complete
contig_3	protocluster	lanthipeptide-class-i	1377913	1403167	27	21	57137	2116.19	77.8%	partly
contig_3	cand_cluster	pyrrolidine	2118065	2150285	25	25	57527	2301.08	100.0%	complete
contig_3	region	terpene	2614748	2664623	46	46	131508	2858.87	100.0%	complete
contig_3	cand_cluster	NRPS-like	2621623	2664623	37	37	128474	3472.27	100.0%	complete
contig_3	protocluster	NRPS-like	2621623	2664623	37	37	128474	3472.27	100.0%	complete
contig_3	cand_cluster	butyrolactone	2157562	2168483	10	10	7011	701.1	100.0%	complete
contig_2	region	T1PKS	749397	797301	34	33	36695	1079.26	97.1%	partly
contig_2	region	T1PKS	942090	1051971	36	36	40460	1123.89	100.0%	complete
contig_2	protocluster	terpene-precursor	51009	72086	19	18	13967	735.11	94.7%	partly
contig_3	cand_cluster	lanthipeptide-class-v	1610635	1691662	69	68	247720	3590.14	98.6%	partly
contig_3	cand_cluster	NAPAA	2954115	2989372	33	30	62332	1888.85	90.9%	partly
contig_3	cand_cluster	lanthipeptide-class-v	1610635	1652758	33	32	101225	3067.42	97.0%	partly
contig_2	cand_cluster	terpene	671896	694775	21	21	77115	3672.14	100.0%	complete
contig_3	cand_cluster	terpene	2614748	2637945	23	23	25659	1115.61	100.0%	complete
contig_3	region	hydrogen-cyanide	3016917	3046876	22	21	8865	402.95	95.5%	partly
contig_2	region	T2PKS	1150384	1222900	70	68	43531	621.87	97.1%	partly
contig_3	region	atropopeptide	2852432	2873648	19	19	42350	2228.95	100.0%	complete
contig_2	protocluster	terpene	671896	694775	21	21	77115	3672.14	100.0%	complete
contig_3	cand_cluster	CDPS	2484341	2505049	20	20	20503	1025.15	100.0%	complete
contig_2	cand_cluster	NRPS	677506	725162	35	34	80415	2297.57	97.1%	partly
contig_3	cand_cluster	hydrogen-cyanide	3016917	3030032	11	10	1797	163.36	90.9%	partly
contig_2	protocluster	NRPS-like	159806	202908	41	34	28006	683.07	82.9%	partly
contig_3	region	NRPS	1693838	1737379	38	38	82545	2172.24	100.0%	complete
contig_2	region	terpene	4413876	4436174	18	18	17980	998.89	100.0%	complete
contig_2	cand_cluster	azole-containing-RiPP	4370008	4393356	26	26	101355	3898.27	100.0%	complete
